CountryOrTerritory,StationName,StationCode,StationType,StationArea,PollutantCode,Pollutant,Latitude,Longitude,Altitude,MeasurementRegime,OperationalActivityBegin,OperationalActivityEnd,MeasurementMethodCode,MeasurementMethod,OperationYear,PollutantType,isAir
Germany,Heilbronn Weinsberger Straße-Ost,DEBW152,Traffic,Urban,PTAC043,Nitrogen dioxide ,49.146,9.22589,12.0,Continuous data collection,2008-12-31T23:00:01Z,2011-12-31T24:00:00+01:00,PMME064,Light scattering,2008,air,1
Germany,Rostock-Holbeinplatz,DEMV022,Traffic,Urban,PTAC027,indeno_123cd_pyrene in PM10 ,54.09262,12.099553,13.0,Continuous data collection,2008-01-24T23:00:01Z,2015-12-31T24:00:00+01:00,PMME064,Light scattering,2008,aerosol,0
Germany,Kellerwald,DEHE060,Background,Rural-Regional,PTAC044,Nitrogen monoxide ,51.154843,9.031754,68.0,Continuous data collection,2005-10-08T23:00:01Z,Not Specified,PMME045,Chemiluminescence,2005,air,1
Germany,Königs Wusterhausen,DEBB082,Background,Suburban,PTAC045,Nitrogen oxides ,52.294633000000005,13.619784,550.0,Continuous data collection,2008-03-19T23:00:01Z,2014-01-03T24:00:00+01:00,PMME045,Chemiluminescence,2008,air,1
Germany,Altenburg Theaterplatz,DETH011,Background,Urban,PTAC028,Lead in PM10 ,50.987758,12.437621,75.0,Continuous data collection,2018-12-31T23:00:01Z,Not Specified,PMME064,Light scattering,2018,aerosol,0
Germany,Annaberg-Buchholz,DESN001,Background,Urban,PTAC045,Nitrogen oxides ,50.570871999999994,12.997278,15.0,Continuous data collection,2012-12-31T23:00:01Z,Not Specified,PMME045,Chemiluminescence,2012,air,1
Germany,Schauinsland,DEUB004,Background,Rural-Regional,PTAC043,Nitrogen dioxide ,47.913256,7.908035000000001,15.0,Continuous data collection,2001-12-31T23:00:01Z,2014-12-31T24:00:00+01:00,PMME064,Light scattering,2001,air,1
Germany,Rostock Am Strande,DEMV020,Traffic,Urban,PTAC045,Nitrogen oxides ,54.092278,12.141994,13.0,Continuous data collection,2005-12-31T23:00:01Z,Not Specified,PMME045,Chemiluminescence,2005,air,1
Germany,Jüchen-Hochneukirch,DENW337,Industrial,Rural-Near_city,PTAC051,Particulate matter < 10 µm ,51.097638,6.469462999999999,610.0,Continuous data collection,2014-01-05T23:00:01Z,2016-12-31T24:00:00+01:00,PMME044,UV fluorescence,2014,aerosol,0
Germany,Bamberg/Löwenbrücke,DEBY009,Background,Urban,PTAC015,Carbon monoxide ,49.89833,10.887686,193.0,Continuous data collection,1977-12-31T23:00:01Z,2013-07-08T24:00:00+01:00,PMME053,Infrared gas filter correlation,1977,air,1
Germany,Freiberg,DESN017,Background,Urban,PTAC044,Nitrogen monoxide ,50.9163,13.346826,209.0,Continuous data collection,1994-08-31T23:00:01Z,2012-12-31T24:00:00+01:00,PMME045,Chemiluminescence,1994,air,1
Germany,Gelsenkirchen-Bismarck,DENW022,Background,Suburban,PTAC043,Nitrogen dioxide ,51.533640000000005,7.101868,200.0,Continuous data collection,2011-12-31T23:00:01Z,Not Specified,PMME045,Chemiluminescence,2011,air,1
Germany,Lübeck Moislinger Allee,DESH053,Traffic,Urban,PTAC039,Nickel in PM10 ,53.862237,10.67332,619.0,Continuous data collection,2015-12-31T23:00:01Z,2016-12-31T24:00:00+01:00,PMME044,UV fluorescence,2015,aerosol,0
Germany,Mainz-Zitadelle,DERP009,Background,Urban,PTAC052,Particulate matter < 2.5 µm ,49.995016,8.273978999999999,15.0,Continuous data collection,2014-12-31T23:00:01Z,Not Specified,PMME064,Light scattering,2014,aerosol,0
Germany,Berlin Schildhornstraße,DEBE061,Traffic,Urban,PTAC051,Particulate matter < 10 µm ,52.463611,13.31825,11.0,Continuous data collection,1999-03-31T23:00:01Z,2014-12-31T24:00:00+01:00,PMME031,Beta ray attenuation,1999,aerosol,0
Germany,Wittenberg/Dessauer Strasse,DEST092,Traffic,Urban,PTAC039,Nickel in PM10 ,51.867471,12.59827,210.0,Continuous data collection,2013-12-31T23:00:01Z,2014-12-31T24:00:00+01:00,PMME031,Beta ray attenuation,2013,aerosol,0
Germany,Pirmasens-Innenstadt,DERP060,Background,Urban,PTAC044,Nitrogen monoxide ,49.191996,7.614573,624.0,Continuous data collection,2014-12-09T23:00:01Z,Not Specified,PMME045,Chemiluminescence,2014,air,1
Germany,Emsland,DENI043,Background,Suburban,PTAC052,Particulate matter < 2.5 µm ,52.49855,7.31747,581.0,Continuous data collection,2009-12-31T23:00:01Z,2019-12-10T24:00:00+01:00,PMME041,Nephelometry + BETA,2009,aerosol,0
Germany,Potsdam-Zentrum,DEBB021,Background,Urban,PTAC005,Ammonium in PM10 ,52.401352,13.059944999999999,64.0,Continuous data collection,2012-12-31T23:00:01Z,2013-12-27T24:00:00+01:00,PMME064,Light scattering,2012,aerosol,0
Germany,Nürnberg/Bahnhof,DEBY053,Traffic,Urban,PTAC044,Nitrogen monoxide ,49.44591,11.088444,197.0,Continuous data collection,1986-08-31T23:00:01Z,Not Specified,PMME045,Chemiluminescence,1986,air,1
Germany,Ludwigshafen-Mundenheim,DERP003,Industrial,Urban,PTAC051,Particulate matter < 10 µm ,49.455508,8.425897,203.0,Periodic data collection,2000-12-31T23:00:01Z,2011-05-31T24:00:00+01:00,PMME031,Beta ray attenuation,2000,aerosol,0
